DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
36461	252	1	1	4	2		996.684467080673
36461	252	1	2	1	1	300000	996.684467080673
36462	252	1	1	4	2		827.412500786018
36462	252	1	2	1	1	650000	827.412500786018
36463	252	1	1	1	1	600000	905.433219101708
36463	252	1	2	1	1	180000	905.433219101708
36464	252	1	1	1	1	450000	671.371064154636
36464	252	1	3	1	1	600000	671.371064154636
36465	252	1	1	1	1	737170	996.684467080673
36465	252	1	2	1	1	400000	996.684467080673
36466	252	1	1	1	1	1300000	1053.44471647646
36466	252	1	2	4	1	150000	1053.44471647646
36466	252	1	3	2	2		1053.44471647646
36467	252	1	1	1	1	1400000	1053.33846569045
36468	252	1	1	5	1	240000	460.612804807812
36468	252	1	2	4	2		460.612804807812
36468	252	1	3	2	2		460.612804807812
36468	252	1	4	3	2		460.612804807812
36468	252	1	5	4	2		460.612804807812
36469	252	1	1	5	2		873.643597931788
36469	252	1	2	4	2		873.643597931788
36469	252	1	3	3	2		873.643597931788
36470	252	1	1	1	1	750000	1152.83215449807
36470	252	1	2	4	2		1152.83215449807
36470	252	1	3	1	1	500000	1152.83215449807
36470	252	1	4	2	2		1152.83215449807
36471	252	1	1	1	1	800000	827.412500786018
36471	252	1	2	4	1	150000	827.412500786018
36472	252	1	1	1	1	450000	703.773373492103
36473	252	1	1	1	1	750000	905.433219101708
36473	252	1	2	1	1	737177	905.433219101708
36474	252	1	1	4	1	9999	622.747004801489
36474	252	1	2	1	1	737177	622.747004801489
36475	252	1	1	1	1	1600000	1096.17815588829
36475	252	1	2	1	1	350000	1096.17815588829
36475	252	1	3	3	2		1096.17815588829
36475	252	1	6	4	2		1096.17815588829
36475	252	1	7	1	1	800000	1096.17815588829
36476	252	1	1	5	2		1120.44427518312
36476	252	1	2	1	1	350000	1120.44427518312
36476	252	1	3	3	2		1120.44427518312
36477	252	1	1	1	1	3000000	781.900342593808
36477	252	1	2	4	1	200000	781.900342593808
36477	252	1	3	3	1	400000	781.900342593808
36478	252	1	1	1	1	1500000	1074.70518539636
36478	252	1	2	4	2		1074.70518539636
36479	252	1	1	1	1	200000	465.108886283415
36479	252	1	2	4	1	1000000	465.108886283415
36480	252	1	1	3	1	230000	996.684467080673
36480	252	1	2	1	1	600000	996.684467080673
36481	252	1	1	4	2		1131.46543479215
36481	252	1	2	1	1	650000	1131.46543479215
36481	252	1	3	1	1	600000	1131.46543479215
36482	252	1	1	1	1	1500000	703.773373492103
36483	252	1	1	1	1	1600000	1074.70518539636
36483	252	1	2	4	2		1074.70518539636
36484	252	1	1	1	1	1500000	757.527972512969
36484	252	1	2	3	2		757.527972512969
36484	252	1	3	3	2		757.527972512969
36485	252	1	1	1	1	400000	621.25657370081
36485	252	1	2	4	2		621.25657370081
36485	252	1	3	5	2		621.25657370081
36485	252	1	4	1	1	1500000	621.25657370081
36486	252	1	1	4	2		531.495756822525
36486	252	1	2	1	1	350000	531.495756822525
36487	252	1	1	1	1	800000	905.433219101708
36487	252	1	2	3	2		905.433219101708
36488	252	1	1	1	1	400000	413.653125000002
36488	252	1	2	1	1	450000	413.653125000002
36488	252	1	3	4	1	240000	413.653125000002
36489	252	1	1	2	2		1074.70518539636
36489	252	1	2	1	1	950000	1074.70518539636
36490	252	1	1	1	1	1600000	905.433219101708
