DIRECTORIO	REGION	P4090	P4000	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	P70	FEX_P
36473	2	1	1	1	1	1	1	1	2	1	1	905.433219101708
36474	2	1	1	1	1	1	1	1	3	1	1	622.747004801489
36475	2	1	1	1	2	1	1	1	2	1	1	1096.17815588829
36476	2	1	1	1	1	1	1	1	3	1	1	1120.44427518312
36477	2	1	1	1	2	1	1	1	3	1	1	781.900342593808
36478	2	1	2	1	2	1	1	1	2	1	1	1074.70518539636
36479	2	1	1	1	2	1	1	1	2	1	1	465.108886283415
36480	2	1	1	1	1	1	1	1	3	1	1	996.684467080673
36481	2	1	2	1	1	1	1	1	3	1	1	1131.46543479215
36482	2	1	1	1	2	1	1	1	3	1	1	703.773373492103
36483	2	1	2	1	3	1	1	1	3	1	1	1074.70518539636
36484	2	1	1	1	2	1	1	1	3	1	1	757.527972512969
36485	2	1	2	1	2	1	1	1	3	1	1	621.25657370081
36486	2	1	1	1	3	1	1	1	3	1	1	531.495756822525
36487	2	1	1	1	2	1	1	1	3	1	1	905.433219101708
36488	2	1	1	1	2	1	1	1	3	1	1	413.653125000002
36489	2	1	2	1	2	1	1	1	3	1	1	1074.70518539636
36490	2	1	1	1	3	1	1	1	3	1	1	905.433219101708
36491	2	1	1	1	2	1	1	1	3	1	1	770.652251390228
36492	2	1	1	1	3	1	1	1	3	1	1	848.672969705919
36493	2	1	2	1	1	1	1	1	3	1	1	453.475038506834
36494	2	1	1	1	2	1	1	1	3	1	1	848.779220491933
36496	1	1	1	1	3	1	1	1	99	1	2	1280.49165719209
36497	1	1	1	1	3	1	1	1	3	1	1	1167.3960078634
36498	1	1	1	1	3	1	1	1	99	1	1	1058.89348146985
36499	1	1	1	1	3	1	1	1	3	1	2	1104.53732732922
36500	1	1	1	1	3	1	1	1	99	1	1	1167.3960078634
36501	1	1	1	1	3	1	1	1	99	1	1	1211.28872517618
36502	1	1	1	1	3	1	1	1	3	1	2	1119.16569509881
36503	1	1	1	1	3	2	1	1	3	1	1	1066.40883208324
36504	1	1	1	1	3	1	1	1	3	1	1	1180.42396494314
36505	1	1	1	1	3	1	1	1	3	1	1	1004.46963508027
36506	1	1	1	1	3	1	1	1	3	1	1	1187.87274287237
36507	1	1	1	1	3	1	1	1	3	1	1	1003.26394384359
36508	1	1	1	1	3	1	1	1	3	1	1	1167.53911171614
36509	1	1	1	1	3	1	1	1	3	1	1	1240.55307471937
36510	1	1	1	1	3	1	1	1	3	1	1	1119.02259124608
36511	3	1	1	1	3	1	1	1	3	1	1	347.897437527964
36512	3	1	1	1	3	1	1	1	3	1	1	367.237874150721
36513	3	1	1	1	2	2	1	1	3	1	1	533.519092059635
36514	3	1	1	1	2	1	1	1	3	1	1	502.094309277306
36515	3	1	1	1	2	1	1	1	3	1	1	502.094309277306
36516	3	1	1	1	2	1	1	1	3	1	1	502.094309277306
36517	3	1	1	1	2	1	1	1	3	1	1	492.978722930783
36518	3	1	1	1	2	1	1	1	3	1	1	484.090495994342
36519	3	1	1	1	2	1	1	1	3	1	2	225.197547391281
36520	3	1	1	1	2	2	2	1	3	2	1	353.312084610516
36521	3	1	1	1	2	1	1	1	3	1	1	353.312084610516
36522	3	1	1	2		2	2	2		2	1	452.500234388376
36523	3	1	3	2		2	2	2		2	1	393.790573152923
36524	3	1	1	1	2	1	1	1	3	1	1	393.790573152923
36525	3	1	3	2		2	2	2		2	1	484.090495994342
36526	3	1	3	2		2	2	2		2	1	484.090495994342
36527	3	1	1	1	2	1	1	1	3	1	1	596.306777037847
36528	3	1	3	2		2	2	2		2	1	484.090495994342
36529	3	1	1	2		2	1	2		2	1	402.906159499446
36530	3	1	1	1	2	1	1	1	3	1	1	452.500234388376
36531	3	1	1	1	2	1	1	1	3	1	1	434.330942281774
36532	3	1	1	1	2	1	1	1	3	1	1	484.090495994342
36533	3	1	2	1	3	1	1	1	3	1	1	388.840963134422
36534	3	1	2	1	2	1	1	1	2	1	1	663.38984278621
36535	3	1	1	1	2	1	1	1	2	1	1	805.181298354611
36536	3	1	1	1	2	1	1	1	2	1	1	624.201900846924
36537	3	1	1	1	2	1	1	1	2	1	1	767.723653677367
36538	3	1	1	1	2	1	1	1	2	1	1	688.087962337446
36539	3	1	1	1	2	1	1	1	2	1	1	752.843368002496
36540	3	1	1	1	2	1	1	1	2	1	1	710.293640578453
36541	3	1	2	1	2	2	1	1	2	1	1	809.404036926882
36542	3	1	2	1	2	1	1	1	2	1	1	638.913836187325
36543	3	1	2	1	2	1	1	1	2	1	1	665.882284096439
36544	3	1	2	1	2	1	1	1	2	1	1	665.882284096439
36545	3	1	1	1	2	2	1	1	2	1	1	696.343849286239
36546	3	1	1	1	2	1	1	1	2	1	1	728.14524845126
36547	3	1	1	1	2	1	1	1	2	1	1	735.531791225525
36548	4	1	2	1	2	1	1	1	3	1	1	970.714636277021
36549	4	1	2	1	2	1	1	1	3	1	1	1058.57079855727
36550	4	1	1	1	2	1	1	1	3	1	1	1092.57825598866
36551	4	1	1	1	2	1	1	1	3	1	1	1027.64649779722
36552	4	1	1	1	2	1	1	1	3	1	1	945.304633888947
36553	4	1	2	1	2	1	1	1	3	1	1	695.656131436174
36554	4	1	2	1	2	1	1	1	3	1	1	970.714636277021
36555	4	1	1	1	2	1	1	1	3	1	1	1027.64649779722
36556	4	1	2	1	2	1	1	1	3	1	1	987.674593022451
36557	4	1	1	1	2	1	1	1	3	1	1	673.094332378236
36558	4	1	2	1	2	1	1	1	3	1	1	1285.29489692124
36559	4	1	1	1	2	1	1	1	3	1	1	1517.74848928737
36560	4	1	2	1	1	1	1	1	2	1	1	1144.03779181881
36561	4	1	2	1	1	1	1	1	3	1	1	634.288141264844
36562	4	1	2	1	2	1	1	1	3	1	1	1041.619228319
36563	4	1	2	1	2	1	1	1	2	1	1	364.016279069769
36564	4	1	1	1	2	1	1	1	2	1	1	409.402908376989
36565	4	1	1	1	2	1	1	1	2	1	1	364.016279069769
36566	4	1	1	1	2	1	1	1	2	1	1	647.726391200591
36567	3	1	2	1	2	1	1	1	3	1	1	1491.02662006614
36569	3	1	2	1	2	1	1	1	3	1	1	958.695404875437
36570	3	1	2	1	2	1	1	1	3	1	1	512.771135572469
36571	3	1	1	1	2	1	1	1	3	1	1	408.353436485276
36575	3	1	2	1	2	1	1	1	3	1	1	863.717414764135
36576	3	1	1	1	2	1	1	1	3	1	1	868.078364173552
36577	3	1	1	1	2	1	1	1	3	1	1	682.743579767103
36578	3	1	1	1	1	2	2	1	3	2	1	927.971655696416
36579	3	1	2	1	1	1	1	1	3	2	1	975.460650752067
36580	3	1	2	1	2	1	1	1	3	1	1	832.993665585113
36581	3	1	1	1	3	1	1	1	3	1	1	509.29434819915
36582	3	1	1	1	3	1	1	1	2	1	1	410.294684558951
36583	3	1	2	1	2	1	1	1	3	1	1	879.958794260889
36584	3	1	2	1	2	1	1	1	3	1	1	455.603204909893
36585	3	1	1	1	3	1	1	1	3	1	1	512.771135572469
36588	3	1	1	1	1	2	1	1	1	1	1	919.79322673633
36589	3	1	1	1	1	2	1	1	1	1	1	786.032472997218
36590	3	1	1	1	1	2	1	1	1	1	1	630.641826896067
36591	3	1	1	1	1	2	1	1	1	2	1	732.452247517968
36592	3	1	1	1	1	2	1	1	1	1	1	816.839690915822
36593	3	1	1	1	1	2	1	1	1	1	1	860.005357920143
36594	3	1	1	1	2	2	1	1	2	1	1	811.398974284447
36595	3	1	2	1	1	2	1	1	1	1	1	760.66597170999
36596	3	1	2	1	2	2	1	1	2	1	1	865.596100510389
36597	3	1	3	1	2	2	1	1	2	1	1	784.055880017328
36598	3	1	2	1	1	2	1	1	1	2	1	840.22959922316
36599	3	1	1	1	1	2	1	1	1	1	1	944.139072139785
36600	3	1	2	1	1	2	1	1	1	1	1	747.727774021202
36601	3	1	2	1	1	2	1	1	1	1	1	865.596100510389
36602	3	1	2	1	1	2	1	1	1	1	1	729.858753791386
36603	3	1	1	1	2	2	1	1	1	1	1	811.398974284447
36604	3	1	1	1	1	2	1	1	1	1	1	893.80982470241
36605	3	1	2	1	1	2	1	1	1	1	1	840.22959922316
36606	3	1	3	1	2	2	1	1	2	1	1	893.80982470241
36607	3	1	1	1	2	2	1	1	2	1	1	729.858753791386
36608	3	1	2	1	1	2	1	1	1	1	1	831.791633728121
36609	3	1	1	1	1	2	1	1	1	1	1	729.858753791386
36610	3	1	2	1	1	2	1	1	1	1	1	893.80982470241
36611	3	1	1	1	2	2	1	1	1	1	1	865.596100510389
36612	4	1	1	1	2	1	1	1	3	1	1	918.637433082151
36613	4	1	2	1	2	1	1	1	3	1	1	901.861937897637
36614	4	1	2	1	2	1	1	1	3	1	1	860.145974551557
36615	4	1	2	1	2	1	1	1	3	1	1	1098.75178408508
36616	4	1	2	1	2	1	1	1	3	1	1	866.925233563756
36617	4	1	2	1	2	1	1	1	3	1	1	1008.69460858362
36618	4	1	1	1	2	1	1	1	3	1	1	1263.58629799774
36619	4	1	2	1	3	1	1	1	3	1	1	765.468772715639
36620	4	1	1	1	3	1	1	1	3	1	1	964.13530995115
36621	4	1	1	1	2	1	1	1	3	1	1	1042.28562398959
36622	4	1	1	1	3	2	1	1	3	1	1	1242.13201863134
36623	4	1	3	1	3	2	1	1	3	1	1	701.906988564272
36624	4	1	1	1	3	1	1	1	3	1	1	972.609432300924
36625	4	1	2	1	3	1	1	1	3	1	1	835.144964404309
36626	4	1	2	1	3	1	1	1	3	1	1	971.429574894689
36627	4	1	2	1	3	1	1	1	3	1	1	1111.79883214811
36628	4	1	2	1	4	1	1	1	7	1	1	831.640364481852
36629	4	1	1	1	4	1	1	1	7	1	1	905.893350582317
36630	4	1	1	1	4	1	1	1	7	1	1	956.687517777218
36631	4	1	1	1	1	2	1	1	7	1	1	1692.36599864473
36632	4	1	1	1	1	2	1	1	2	1	1	839.565373098676
36633	4	1	1	1	1	2	1	1	7	1	1	1691.85637996762
36634	4	1	1	1	1	2	1	1	2	1	1	890.421362296058
36635	4	1	1	1	1	2	1	1	2	1	1	1080.09572450186
36636	4	1	1	1	1	2	1	1	7	1	1	1277.75691732697
36637	4	1	1	1	1	2	1	1	7	1	1	956.687517777218
36638	4	1	1	1	1	2	1	1	7	1	1	782.485143857674
36639	4	1	1	1	1	2	1	1	2	1	1	1525.70265866986
36640	4	1	1	1	1	2	1	1	2	1	1	1319.99281322297
36642	4	1	1	1	3	1	1	1	2	1	1	1549.67109625254
36643	4	1	1	1	3	1	1	1	2	1	1	1865.54913521005
36645	4	1	1	1	3	1	1	1	2	1	1	1691.85637996762
36646	4	1	1	1	2	1	1	1	2	1	1	905.893350582317
36647	4	1	2	1	2	2	1	1	2	1	1	956.687517777218
36648	4	1	2	1	2	1	1	1	2	1	1	839.627195101157
36649	4	1	2	1	2	1	1	1	2	1	1	1549.67109625254
36650	4	1	2	1	2	2	1	1	2	1	1	890.421362296058
36651	4	1	2	1	2	1	1	1	2	1	1	1320.50243190008
36652	4	1	2	1	2	1	1	1	2	1	1	882.434531676754
36653	4	1	1	1	2	1	1	1	2	1	1	1328.04146584476
