DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6008	P220	P5785	P5465	P6050	P605	P6160	P8586	P6210	P6210S1	P6945	FEX_P
18770	252	1	5		2	27	5	3	2	1	2	6	3	1	453.97728043
18770	252	1	6		1	21	6	5	2	1	2	5	2	1	453.97728043
18770	252	1	7	7	1	0									453.97728043
18771	252	1	1		1	51	6	1	2	1	2	4	3	1	453.3253583
18771	252	1	2		2	49	6	2	2	1	2	4	4	1	453.3253583
18771	252	1	3		2	25	6	3	6	1	2	5	2	1	453.3253583
18771	252	1	4		1	29	6	5	2	1	2	6	5	1	453.3253583
18771	252	1	5		2	27	6	3	2	1	2	6	2	1	453.3253583
18771	252	1	6		1	1									453.3253583
18771	252	1	7	7	1	9									453.3253583
18772	252	1	1		1	33	6	1	3	1	1	5	2	2	457.83071647
18772	252	1	2		2	27	6	2	3	1	2	5	2	2	457.83071647
18772	252	1	3		2	2									457.83071647
18772	252	1	4		1	3									457.83071647
18772	252	1	5	5	2	8									457.83071647
18773	252	1	1		1	62	6	1	6	1	2	3	6	1	416.27527787
18773	252	1	2	2	1	23	6	3	6	1	2	4	2	4	416.27527787
18774	252	1	1		1	25	7	1	2	1	2	4	2	1	451.8031666
18774	252	1	2		2	21	5	2	2	1	2	6	2	1	451.8031666
18774	252	1	3		1	3									451.8031666
18774	252	1	4	4	1	1									451.8031666
18775	252	1	1		1	31	6	1	2	1	2	3	6	1	452.45508872
18775	252	1	2		2	26	6	2	2	1	2	5	2	1	452.45508872
18775	252	1	3		2	5									452.45508872
18775	252	1	4	4	1	4									452.45508872
18776	252	1	1		2	23	6	1	2	1	2	5	2	1	447.07946097
18776	252	1	2		1	24	6	2	1	1	2	5	2	1	447.07946097
18776	252	1	3	3	1	6									447.07946097
18777	252	1	1		2	62	6	1	6	2	2	1		1	317.62183548
18777	252	1	2		2	42	6	3	6	1	2	4	2	1	317.62183548
18777	252	1	3		2	20	6	4	6	1	2	5	2	1	317.62183548
18777	252	1	4		1	17									317.62183548
18777	252	1	5		2	28	6	3	2	1	2	4	4	1	317.62183548
18777	252	1	6		1	21	6	5	2	1	2	3	6	1	317.62183548
18777	252	1	7	7	1	0									317.62183548
18778	252	1	1		1	35	6	1	3	1	2	4	2	1	453.10701085
18778	252	1	2		2	30	6	2	3	1	2	5	1	10	453.10701085
18778	252	1	3		2	13									453.10701085
18778	252	1	4	4	2	10									453.10701085
18779	252	1	1	1	2	49	99	1	4	1	2	3	6	1	369.97434513
18780	252	1	1		1	49	6	1	2	1	2	3	6	1	783.39040716
18780	252	1	2		2	48	6	2	2	1	1	4	2	1	783.39040716
18780	252	1	3		2	27	6	3	4	1	2	5	2	1	783.39040716
18780	252	1	4		2	7									783.39040716
18780	252	1	5		1	0									783.39040716
18780	252	1	6		2	26	1	3	6	1	2	5	2	1	783.39040716
18780	252	1	7		1	4									783.39040716
18780	252	1	8	8	2	11									783.39040716
18781	252	1	1		1	24	6	1	2	1	2	5	2	3	1048.3691536
18781	252	1	2		2	21	6	2	2	1	2	5	1	3	1048.3691536
18781	252	1	3		1	2									1048.3691536
18781	252	1	4		1	16									1048.3691536
18781	252	1	5	5	1	46	6	5	6	1	2	3	6	1	1048.3691536
18782	252	1	1		1	55	6	1	3	1	2	4	5	1	503.35575454
18782	252	1	2		2	43	6	2	3	1	2	5	2	1	503.35575454
18782	252	1	3		1	17									503.35575454
18782	252	1	4	4	1	70	6	5	6	2	2	1		3	503.35575454
18783	252	1	1		2	51	6	1	6	1	2	4	3	1	749.39610151
18783	252	1	2	2	1	13									749.39610151
18784	252	1	1		1	43	6	1	2	1	2	3	4	1	1184.9884071
18784	252	1	2		2	45	6	2	2	1	2	3	6	1	1184.9884071
18784	252	1	3		1	22	6	3	6	1	1	6	2	4	1184.9884071
18784	252	1	4		1	20	6	3	6	1	1	6	2	1	1184.9884071
18784	252	1	5	5	2	13									1184.9884071
18785	252	1	1		1	51	6	1	2	1	2	3	6	1	906.2140217
18785	252	1	2		2	41	6	2	2	1	2	3	3	1	906.2140217
18785	252	1	3		2	14									906.2140217
18785	252	1	4	4	2	11									906.2140217
18786	252	1	1		1	31	6	1	2	1	2	5	2	4	895.4627662
18786	252	1	2		2	23	6	2	2	1	2	6	1	4	895.4627662
18786	252	1	3	3	2	1									895.4627662
18787	252	1	1		1	53	6	1	2	2	2	1		1	828.92650401
18787	252	1	2	2	2	55	6	2	2	1	2	3	3	1	828.92650401
18788	252	1	1		2	62	6	1	6	1	2	6	8	3	306.65223253
18788	252	1	2	2	2	19	5	5	6	1	1	6	3	4	306.65223253
18789	252	1	1		1	48	6	1	6	1	2	6	2	5	414.46325201
18789	252	1	2	2	2	74	6	5	5	2	2	1		1	414.46325201
18790	252	1	1	1	1	50	6	1	4	1	2	4	4	1	477.78536461
18791	252	1	1		1	70	6	1	2	1	2	6	5	1	1070.0501458
18791	252	1	2		2	67	6	2	2	1	1	6	6	1	1070.0501458
18791	252	1	3	3	2	10									1070.0501458
18792	252	1	1		1	32	6	1	2	1	2	4	4	1	801.65216363
18792	252	1	2		2	30	5	2	2	1	2	4	4	1	801.65216363
18792	252	1	3		1	12									801.65216363
18792	252	1	4		1	10									801.65216363
18792	252	1	5	5	2	5									801.65216363
18793	252	1	1		1	37	5	1	4	1	2	5	2	1	1075.104257
18793	252	1	2	2	1	13									1075.104257
18794	252	1	1		1	59	5	1	4	1	2	7	5	1	1144.8637624
18794	252	1	2	2	2	18	6	4	6	1	1	6	0	1	1144.8637624
18795	252	1	1		2	78	6	1	5	1	2	5	2	1	1563.3564553
18795	252	1	2		2	67	6	5	4	1	2	5	2	1	1563.3564553
18795	252	1	3		1	33	6	5	6	1	2	4	5	1	1563.3564553
18795	252	1	4		1	36	6	5	6	1	2	5	2	1	1563.3564553
18795	252	1	5	5	2	13									1563.3564553
18796	252	1	1	1	1	64	6	1	4	1	2	3	5	3	1087.9840677
18797	252	1	1	1	1	25	6	1	6	1	1	6	3	1	1285.1737415
18798	252	1	1		2	35	6	1	2	1	2	6	3	1	1131.9839517
18798	252	1	2		1	44	6	2	2	1	2	6	4	1	1131.9839517
18798	252	1	3	3	1	12									1131.9839517
18799	252	1	1		1	31	7	1	2	1	2	6	2	1	1221.7911327
18799	252	1	2		2	28	7	2	2	1	2	6	2	1	1221.7911327
18799	252	1	3	3	2	0									1221.7911327
18800	252	1	1		2	36	99	1	3	1	2	6	5	1	921.91446714
18800	252	1	2		1	42	7	2	3	1	2	6	5	1	921.91446714
18800	252	1	3		1	11									921.91446714
18800	252	1	4	4	1	7									921.91446714
18801	252	1	1		2	43	5	1	2	1	2	3	5	1	1011.7216482
18801	252	1	2		1	36	5	2	2	1	2	3	6	4	1011.7216482
18801	252	1	3		2	17									1011.7216482
18801	252	1	4	4	1	16									1011.7216482
18802	252	1	1		1	52	4	1	2	1	2	3	6	1	1011.7216482
18802	252	1	2		2	32	6	2	2	1	2	5	2	1	1011.7216482
18802	252	1	3		2	6									1011.7216482
18802	252	1	4	4	1	3									1011.7216482
18803	252	1	1		2	60	6	1	4	1	2	3	3	1	710.1922913
18803	252	1	2		2	35	6	3	4	1	2	5	2	1	710.1922913
18803	252	1	3		1	15									710.1922913
18803	252	1	4		1	11									710.1922913
18803	252	1	5	5	2	9									710.1922913
18804	252	1	1	1	2	32	99	1	6	1	2	6	4	99	1148.2651822
18805	252	1	1		1	53	1	1	3	1	2	5	2	1	801.65216363
18805	252	1	2		2	48	6	2	3	1	2	5	2	1	801.65216363
18805	252	1	3		1	17									801.65216363
18805	252	1	4		1	14									801.65216363
18805	252	1	5	5	2	13									801.65216363
18806	252	1	1		1	61	6	1	2	1	2	5	2	1	1024.6014589
18806	252	1	2		2	51	6	2	2	1	2	5	2	1	1024.6014589
18806	252	1	3	3	2	17									1024.6014589
18807	252	1	1	1	2	64	6	1	6	1	2	6	5	1	1193.7138692
18809	252	1	1		2	43	6	1	4	1	2	5	2	1	938.19569771
18809	252	1	2	2	1	17									938.19569771
18810	252	1	1	1	1	49	5	1	6	1	2	5	2	4	1285.1737415
18811	252	1	1		1	47	6	1	2	1	2	5	2	4	1175.0547796
18811	252	1	2		2	41	5	2	2	1	2	4	4	4	1175.0547796
18811	252	1	3		1	21	6	5	6	1	2	5	2	4	1175.0547796
18811	252	1	4		2	17									1175.0547796
18811	252	1	5		2	10									1175.0547796
18811	252	1	6	6	2	0									1175.0547796
18813	252	1	1		1	40	6	1	3	1	2	6	4	1	1342.0534362
18813	252	1	2	2	2	34	6	2	3	1	2	6	5	1	1342.0534362
18814	252	1	1		1	33	5	1	4	1	2	4	4	4	1057.1703351
18814	252	1	2		2	79	5	5	5	2	2	1		4	1057.1703351
18814	252	1	3		2	6									1057.1703351
18814	252	1	4	4	1	5									1057.1703351
18815	252	1	1	1	1	74	6	1	6	1	2	3	3	1	1087.9840677
18816	252	1	1		2	60	6	1	4	1	2	5	2	1	1250.5935639
18816	252	1	2	2	2	38	6	3	6	1	1	6	3	1	1250.5935639
18817	252	1	1		1	57	6	1	3	1	2	6	4	1	1497.8600928
18817	252	1	2		2	58	6	2	3	1	2	6	4	1	1497.8600928
18817	252	1	3		1	29	6	3	6	1	2	6	5	1	1497.8600928
18817	252	1	4		2	25	6	3	6	1	1	6	3	1	1497.8600928
