DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
18848	252	1	3	1	1	240000	348.901253918495
18849	252	1	1	4	2		939.692987478405
18849	252	1	2	1	1	3000000	939.692987478405
18850	252	1	1	4	2		582.36462911625
18850	252	1	2	1	1	750000	582.36462911625
18851	252	1	1	1	1	30000	348.901253918495
18851	252	1	2	1	1	800000	348.901253918495
18851	252	1	3	3	2		348.901253918495
18851	252	1	4	3	2		348.901253918495
18851	252	1	6	1	1	450000	348.901253918495
18852	252	1	1	4	1	380000	518.721835200498
18852	252	1	4	5	2		518.721835200498
18852	252	1	5	1	1	700000	518.721835200498
18852	252	1	6	1	1	700000	518.721835200498
18852	252	1	7	4	2		518.721835200498
18853	252	1	1	4	1	150000	615.469638762837
18853	252	1	2	1	1	1000000	615.469638762837
18854	252	1	1	1	1	1500000	377.97905231816
18854	252	1	2	4	2		377.97905231816
18854	252	1	3	1	1	622000	377.97905231816
18854	252	1	4	3	2		377.97905231816
18854	252	1	5	4	2		377.97905231816
18854	252	1	6	3	1	200000	377.97905231816
18855	252	1	1	3	1	400000	348.901253918495
18856	252	1	1	1	1	1000000	775.925564649654
18857	252	1	1	4	2		602.550907122336
18857	252	1	2	1	1	1400000	602.550907122336
18858	252	1	1	1	1	620000	348.901253918495
18858	252	1	2	2	2		348.901253918495
18858	252	1	3	3	2		348.901253918495
18859	252	1	1	1	1	270000	676.120026983219
18860	252	1	1	2	2		680.673963935
18860	252	1	3	1	1	100000	680.673963935
18860	252	1	4	2	1	150000	680.673963935
18861	252	1	1	1	1	800000	1118.18627116124
18861	252	1	2	1	1	900000	1118.18627116124
18862	252	1	1	2	1	450000	1283.44989683767
18862	252	1	2	1	1	150000	1283.44989683767
18863	252	1	1	1	1	1000000	1139.86875201501
18864	252	1	1	2	2		794.615639808055
18864	252	1	2	1	1	700000	794.615639808055
18865	252	1	1	4	1	300000	735.182658153792
18865	252	1	6	4	2		735.182658153792
18866	252	1	1	1	1	300000	520.218038048183
18866	252	1	2	1	1	500000	520.218038048183
18866	252	1	3	1	1	650000	520.218038048183
18866	252	1	4	1	1	1700000	520.218038048183
18867	252	1	1	1	1	600000	868.184759668938
18868	252	1	1	1	1	700000	716.492582995391
18869	252	1	1	1	1	800000	348.901253918495
18869	252	1	2	4	2		348.901253918495
18870	252	1	1	1	1	10000	946.307816481602
18870	252	1	2	4	2		946.307816481602
18871	252	1	1	1	1	700000	1025.92707614195
18871	252	1	2	1	1	700000	1025.92707614195
18872	252	1	1	4	2		602.550907122336
18872	252	1	2	1	99		602.550907122336
18873	252	1	1	1	1	600000	775.925564649654
18874	252	1	1	4	1	100000	537.346581950173
18875	252	1	1	4	2		537.346581950173
18876	252	1	1	1	1	758000	504.241572303586
18877	252	1	1	4	2		348.901253918495
18877	252	1	2	1	1	700000	348.901253918495
18877	252	1	3	3	2		348.901253918495
18878	252	1	1	1	1	650000	524.427850309672
18879	252	1	1	1	1	645000	348.901253918495
18880	252	1	1	1	1	1000000	774.429361801969
18880	252	1	2	1	1	1200000	774.429361801969
18881	252	1	1	1	1	600000	410.486174436617
18881	252	1	2	1	2		410.486174436617
18882	252	1	1	4	1	1000000	716.492582995391
18883	252	1	1	1	1	200000	1030.73477593157
18883	252	1	2	5	2		1030.73477593157
18883	252	1	3	1	1	300000	1030.73477593157
18884	252	1	1	1	1	700000	986.680372493774
18884	252	1	2	1	1	600000	986.680372493774
18885	252	1	1	1	1	300000	410.486174436617
18885	252	1	2	1	1	50000	410.486174436617
18886	252	1	1	1	1	650000	348.901253918495
18887	252	1	1	1	1	1000000	966.494094487688
18887	252	1	2	2	2		966.494094487688
18888	252	1	1	1	1	100000	602.550907122336
18888	252	1	2	2	2		602.550907122336
18889	252	1	1	2	2		774.429361801969
18889	252	1	2	4	2		774.429361801969
18890	252	1	1	1	1	700000	524.427850309672
18891	252	1	1	5	99		348.901253918495
18891	252	1	2	5	99		348.901253918495
18892	252	1	1	4	2		368.815672350162
18892	252	1	2	1	1	1200000	368.815672350162
18892	252	1	3	2	2		368.815672350162
18893	252	1	1	1	1	800000	638.268976475803
18893	252	1	2	4	2		638.268976475803
18893	252	1	5	4	1	500000	638.268976475803
